,Unnamed: 0,Name,Country,swim,bike,run,finish,Agegroup,Gender,Year,Avg Temp,Hi Temp,Humidity,Wind Speed,Wind Direction,West,South,Female
152,152,"Shorter, Carrie",CAN,77.1,432.517,292.467,809.4830000000001,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
153,153,"Steegink, Rob",NLD,58.766999999999996,322.567,263.91700000000003,653.35,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
154,154,"Teuchner, Wolfgang",DEU,61.367,283.7,341.583,691.9,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
155,155,"Thompson, Richard",AUS,62.067,293.183,188.533,550.717,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
156,156,"Thomschke, Markus",DEU,59.016999999999996,299.683,192.4,558.0,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
157,157,"Tobar, Luiza",BRA,78.633,400.8,235.467,721.533,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
158,158,"Valerius, Carmen",DEU,72.867,424.6,358.767,864.2,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
159,159,"Van Acker, Daniel",USA,66.4,321.317,199.517,593.2669999999999,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
160,160,"Waitz, Christine",DEU,67.95,349.13300000000004,213.95,637.133,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
161,161,"White, Caroline",USA,78.517,385.083,222.9,696.133,18-24,1,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,1
162,162,"Woods, Matthew",AUS,63.783,337.333,332.983,747.6,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
163,163,"Ziegler, Andreas",DEU,64.983,296.133,324.25,691.9,18-24,2,2008,80.64699999999998,84,56.647,8.118,WSW,7.5,3.1069999999999998,0
